fc_shield,,fc,,fc_center,,pl_shield,,pl,,pl_center,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
46.24362181922675,23.004441311087422,45.39856070983988,21.736849647007098,44.45960392163223,16.243952435992345,39.342289425900525,26.995007660969936,39.38923726531091,26.525529266866112,40.891568126443154,25.915207354531134
44.64739527927376,22.39411939875245,44.45960392163223,21.736849647007098,43.661490651655726,16.243952435992345,38.68501967415518,26.33773790922458,38.77891535297595,25.868259515120755,40.375141892928944,25.445728960427314
43.004220899910365,21.736849647007098,43.473699294014196,21.736849647007098,42.86337738167922,16.243952435992345,37.93385424358906,25.58657247865846,38.027749922409825,25.117094084554637,39.67092430177321,24.741511369271578
41.0324116446743,21.03263205585136,42.58169034521693,21.736849647007098,42.06526411170272,16.243952435992345,37.22963665243332,24.882354887502725,37.22963665243332,24.27203297516775,38.6380718347448,23.70865890224316
39.67092430177321,20.51620582233715,41.736629235830044,21.78379748641748,41.36104652054698,16.243952435992345,36.14983634599452,23.802554581063927,35.586462273069934,22.628858595804363,38.027749922409825,23.098336989908187
39.295341586490146,20.375362304106,40.515985411160095,21.736849647007098,40.60988108998086,16.243952435992345,34.741401163683044,22.39411939875245,34.6005576454519,21.596006128775947,37.08879313420218,22.15938020170054
38.59112399533442,19.671144712950262,40.2342983746978,21.78379748641748,39.53008078354206,16.243952435992345,33.37991382078195,21.03263205585136,33.75549653606501,20.70399717997868,36.29067986422567,21.361266931724035
37.93385424358906,19.013874961204912,39.90566349882512,22.112432362290157,38.68501967415518,16.243952435992345,32.394009193163924,20.046727428233325,32.81653974785737,19.76504039177103,35.77425363071146,20.84484069820983
37.22963665243332,18.309657370049173,38.77891535297595,23.239180508139334,37.93385424358906,16.243952435992345,31.361156726135512,19.013874961204912,31.924530799060097,18.826083603563383,35.210879557786875,20.281466625285237
36.619314740098346,17.74628329712458,38.49722831651365,23.52086754460163,37.04184529479179,16.243952435992345,30.891678332031685,18.497448727690703,31.03252185026283,17.934074654766114,34.6005576454519,19.671144712950262
36.57236690068797,17.042065705968845,37.464375849485236,24.55372001163005,36.52541906127759,16.243952435992345,30.891678332031685,18.07491817299726,30.563043456159004,17.88712681535573,33.473809499602716,18.54439656710109
