fc_shield,,fc,,fc_center,,pl_shield,,pl,
X,Y,X,Y,X,Y,X,Y,X,Y
24.647058823529413,38.76470588235295,25.88235294117647,38.58823529411765,25.823529411764707,34.529411764705884,10.23529411764706,38.705882352941174,12.588235294117649,38.470588235294116
16.294117647058822,30.529411764705884,22.11764705882353,34.70588235294118,24.58823529411765,33.294117647058826,10.588235294117647,37.47058823529412,12.588235294117649,37.23529411764706
16.47058823529412,25.294117647058822,21.411764705882355,34,22.705882352941178,31.470588235294123,10.882352941176471,36.470588235294116,12.588235294117649,35.88235294117647
17.82352941176471,23.941176470588236,20.058823529411764,32.588235294117645,21.176470588235293,29.941176470588236,11.294117647058824,35.411764705882355,12.529411764705884,34.588235294117645
22.764705882352942,23.941176470588236,19.11764705882353,31.705882352941178,19.47058823529412,28.294117647058826,11.529411764705884,34.17647058823529,12.588235294117649,33.17647058823529
26.88235294117647,28.058823529411764,18,30.705882352941174,17.647058823529413,26.470588235294116,11.705882352941176,32.88235294117647,12.647058823529411,31.941176470588243
,,17.058823529411764,29.705882352941178,16.941176470588232,25.705882352941178,11.588235294117649,31.647058823529413,12.647058823529411,30.64705882352941
,,16.529411764705884,28.941176470588236,15.647058823529413,26.235294117647058,11.588235294117649,30.352941176470587,12.588235294117649,29.117647058823533
,,15.294117647058824,29,14.941176470588234,26.470588235294116,11.588235294117649,29.35294117647059,12.588235294117649,27.882352941176475
,,11.176470588235295,28.941176470588236,11.411764705882353,26.294117647058826,11.764705882352942,28.058823529411764,12.588235294117649,26.647058823529413
,,9.588235294117647,28.23529411764706,10.117647058823529,25.588235294117645,11.823529411764705,26.705882352941174,12.588235294117649,25.294117647058822
,,8.23529411764706,27.294117647058822,8.941176470588236,24.41176470588235,11.705882352941176,25.235294117647058,12.588235294117649,24.000000000000004
,,7.235294117647059,26.11764705882353,8.176470588235293,22.764705882352942,11.705882352941176,24.11764705882353,12.588235294117649,23.41176470588235
,,6.411764705882354,24.705882352941178,8.000000000000002,21.35294117647059,11.647058823529413,23.352941176470587,12.529411764705884,22.705882352941178
,,5.764705882352942,22.941176470588236,8.352941176470589,19.352941176470587,12.529411764705884,22.941176470588236,12.176470588235295,22.470588235294116
,,5.588235294117648,20.823529411764707,9.058823529411764,17.82352941176471,13.76470588235294,22.941176470588236,11.529411764705884,21.88235294117647
,,6.0588235294117645,18.235294117647058,10.176470588235295,16.529411764705884,14.647058823529411,23.41176470588235,11.352941176470589,21
,,6.529411764705882,17.058823529411764,11.764705882352942,15.941176470588237,14.705882352941178,24.58823529411765,11.470588235294118,20.411764705882355
,,7.705882352941177,15.647058823529413,13.647058823529411,15.764705882352944,14.705882352941178,25.705882352941178,11.705882352941176,19.705882352941174
,,8.882352941176471,14.647058823529411,15.529411764705884,16.117647058823525,14.764705882352944,27.294117647058822,12.235294117647058,19
,,10.23529411764706,14,16.941176470588232,17.11764705882353,14.764705882352944,28.764705882352946,12.882352941176471,18.823529411764707
,,12.352941176470589,13.352941176470587,17.88235294117647,18,14.823529411764707,30.352941176470587,13.588235294117647,18.941176470588236
,,14.058823529411764,13.352941176470587,18.294117647058822,19.235294117647058,14.882352941176471,31.882352941176475,14.294117647058824,19.294117647058826
,,16.88235294117647,14.058823529411764,18.58823529411765,20.529411764705884,15.294117647058824,32.705882352941174,14.764705882352944,19.823529411764707
,,18.411764705882355,15.058823529411766,18.705882352941178,22.294117647058826,15.529411764705884,33.82352941176471,14.882352941176471,20.647058823529413
,,19.235294117647058,15.882352941176473,18.235294117647058,23.58823529411765,16.000000000000004,35.529411764705884,14.823529411764707,21.47058823529412
,,20.176470588235293,17.176470588235293,18,24.176470588235297,16.47058823529412,37.411764705882355,14.470588235294118,22.11764705882353
,,21.058823529411764,19.76470588235294,18.411764705882355,24.941176470588236,16.823529411764707,38.76470588235295,13.941176470588237,22.52941176470588
,,21.294117647058826,22.23529411764706,19.11764705882353,25.705882352941178,,,13.647058823529411,22.941176470588236
,,21.176470588235293,23.823529411764707,19.76470588235294,26.41176470588235,,,13.705882352941178,23.705882352941178
,,21.941176470588236,24.705882352941178,20.47058823529412,27.117647058823533,,,13.705882352941178,24.29411764705882
